site_id,nom,email,telephone,telephone_2,adresse,code_postal,ville,departement,departement_nom,latitude,longitude,site_web,formations,url_fiche,source_dep_url
23956,Start Conduite,,0262531608,,10 Rue 20 Décembre,97438,SAINTE MARIE,974,la-reunion,-20.9004476,55.5480521,,,https://www.auto-ecole.info/info-auto-ecole--start-conduite--a--sainte-marie--97438--23956.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23964,Groupement Auto Ecole De L'Est,,0262211712,,168 rte Nationale 2,97439,SAINTE ROSE,974,la-reunion,-21.125028,55.777284,,,https://www.auto-ecole.info/info-auto-ecole--groupement-auto-ecole-de-l-est--a--sainte-rose--97439--23964.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23983,Auto Moto Ecole Sainte Suzanne,,0262521451,,126 Avenue Pierre Mendès France,97441,SAINTE SUZANNE,974,la-reunion,-20.9073405,55.6083211,,,https://www.auto-ecole.info/info-auto-ecole--auto-moto-ecole-sainte-suzanne--a--sainte-suzanne--97441--23983.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23984,Auto Ecole Bagatelle,,0262485976,,14 chem Panon Bagatelle,97441,SAINTE SUZANNE,974,la-reunion,-20.9292924,55.5829137,,,https://www.auto-ecole.info/info-auto-ecole--auto-ecole-bagatelle--a--sainte-suzanne--97441--23984.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23985,Ecole de Conduite Réunionnaise,,0262522477,,76 Avenue Pierre Mendès France,97441,SAINTE SUZANNE,974,la-reunion,-20.9050403,55.6057814,,,https://www.auto-ecole.info/info-auto-ecole--ecole-de-conduite-reunionnaise--a--sainte-suzanne--97441--23985.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23939,Auto-école René CALIAMOU,,0262475803,,111 rue de l`Eglise,97433,SALAZIE,974,la-reunion,-21.0274629,55.4787778,,,https://www.auto-ecole.info/info-auto-ecole--auto-ecole-rene-caliamou--a--salazie--97433--23939.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23941,Auto-école MAGRIN PATRICK,,0262478248,,Hell-Bourg Salazie,97433,SALAZIE,974,la-reunion,-21.064007,55.518707,,,https://www.auto-ecole.info/info-auto-ecole--auto-ecole-magrin-patrick--a--salazie--97433--23941.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
23940,AUTO ECOLE SALAZIE,,,,"128,rue georges pompidou",97433,SALAZIE,974,la-reunion,-21.0278,55.5392,,,https://www.auto-ecole.info/info-auto-ecole--auto-ecole-salazie--a--salazie--97433--23940.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
24014,Auto-Ecole Catherine,,0262455203,,95 Rue Marius et Ary Leblond,97460,SAINT PAUL,974,la-reunion,-21.0067932,55.2738906,,,https://www.auto-ecole.info/info-auto-ecole--auto-ecole-catherine--a--saint-paul--97460--24014.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
24013,Auto Ecole Cfg,,0262451300,,9 Rue Sarda Garriga,97460,SAINT PAUL,974,la-reunion,-20.9443254,55.2985206,,,https://www.auto-ecole.info/info-auto-ecole--auto-ecole-cfg--a--saint-paul--97460--24013.html,https://www.auto-ecole.info/auto-ecole--la-reunion--974.html
