category_name,category_slug,category_url,category_count_hint,listing_page_number,listing_page_url,shop_name_from_listing,shop_url,shop_slug,shop_title_page,listing_description,listing_logo_url,listing_website,website,website_domain,primary_email,all_emails,email_count,email_sources,phones,phone_count,rating,review_count,added_date,description,instagram,facebook,linkedin,tiktok,youtube,pinterest,x_twitter,status,error
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,ACHETEZMOI.COM,https://www.annuaire-du-ecommerce.com/site/achetezmoi-com,achetezmoi-com,ACHETEZMOI.COM,,,,https://ACHETEZMOI.COM,achetezmoi.com,jean-dominique@guides-shopping.com,jean-dominique@guides-shopping.com,1,cloudflare_data,04 83 93 50 40,1,5.0,1,13 juillet 2017,"Découvrez les avis clients sur ACHETEZMOI.COM. Note moyenne : 5.0/5 sur 1 avis. Alimentation & Gastronomie. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,FUL[L] Animaux Urbains,https://www.annuaire-du-ecommerce.com/site/full-animaux-urbains,full-animaux-urbains,FUL[L] Animaux Urbains,,,,https://TerreHydroCulture.com,terrehydroculture.com,contact@ful-l.com,contact@ful-l.com,1,cloudflare_data,0687331507,1,5.0,1,10 octobre 2017,"Découvrez les avis clients sur FUL[L] Animaux Urbains. Note moyenne : 5.0/5 sur 1 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,La boutique du cavalier,https://www.annuaire-du-ecommerce.com/site/la-boutique-du-cavalier,la-boutique-du-cavalier,La boutique du cavalier,,,,https://TerreHydroCulture.com,terrehydroculture.com,laboutiqueducaval@gmail.com,laboutiqueducaval@gmail.com,1,cloudflare_data,,0,5.0,1,13 juillet 2017,"Découvrez les avis clients sur La boutique du cavalier. Note moyenne : 5.0/5 sur 1 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,Colony and Co : aménager vos complexes animaliers,https://www.annuaire-du-ecommerce.com/site/colony-and-co-amenager-vos-complexes-animaliers,colony-and-co-amenager-vos-complexes-animaliers,Colony and Co : aménager vos complexes animaliers,,,,https://TerreHydroCulture.com,terrehydroculture.com,annefimbel@gmail.com,annefimbel@gmail.com,1,cloudflare_data,01 34 76 06 04,1,5.0,1,13 juillet 2017,"Découvrez les avis clients sur Colony and Co : aménager vos complexes animaliers. Note moyenne : 5.0/5 sur 1 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,Pest.Shop boutique en ligne,https://www.annuaire-du-ecommerce.com/site/pest-shop,pest-shop,Pest.Shop boutique en ligne,,,,https://Pest.Shop,pest.shop,communication@pcm.mc,communication@pcm.mc,1,cloudflare_data,0659892265 | 01.43.36.62.17,2,5.0,1,13 juillet 2017,"Découvrez les avis clients sur Pest.Shop boutique en ligne. Note moyenne : 5.0/5 sur 1 avis. Maison, décoration et jardin. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,Pet Design boutique en ligne,https://www.annuaire-du-ecommerce.com/site/pet-design,pet-design,Pet Design boutique en ligne,,,,https://TerreHydroCulture.com,terrehydroculture.com,sarl.linkweb@gmail.com,sarl.linkweb@gmail.com,1,cloudflare_data,06 73 25 93 50,1,5.0,1,11 juillet 2017,"Découvrez les avis clients sur Pet Design boutique en ligne. Note moyenne : 5.0/5 sur 1 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,A Hat for my Rat boutique en ligne,https://www.annuaire-du-ecommerce.com/site/a-hat-for-my-rat,a-hat-for-my-rat,A Hat for my Rat boutique en ligne,,,,https://TerreHydroCulture.com,terrehydroculture.com,contact@ahatformyrat.com,contact@ahatformyrat.com,1,cloudflare_data,0615952506,1,5.0,1,7 juillet 2017,"Découvrez les avis clients sur A Hat for my Rat boutique en ligne. Note moyenne : 5.0/5 sur 1 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,Sellerie de Péruwelz - équipement équitation en ligne,https://www.annuaire-du-ecommerce.com/site/articles-dedies-au-monde-equestre,articles-dedies-au-monde-equestre,Sellerie de Péruwelz - équipement équitation en ligne,,,,https://TerreHydroCulture.com,terrehydroculture.com,selleriedeperuwelz@gmail.com,selleriedeperuwelz@gmail.com,1,cloudflare_data,0032 69 66 43,1,5.0,1,12 mai 2017,"Découvrez Sellerie de Péruwelz - équipement équitation en ligne, boutique en ligne nature & animaux. Consultez les informations et laissez votre avis sur l'Annuaire du E-commerce.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,"So Animals : Vos animaux préférés sur vos t-shirts, sweats...",https://www.annuaire-du-ecommerce.com/site/so-animals,so-animals,"So Animals : Vos animaux préférés sur vos t-shirts, sweats...",,,,https://Animals.fr,animals.fr,jeffrey.lombardi3@gmail.com,jeffrey.lombardi3@gmail.com,1,cloudflare_data,0777381194,1,5.0,1,2 mai 2017,"Découvrez les avis clients sur So Animals : Vos animaux préférés sur vos t-shirts, sweats.... Note moyenne : 5.0/5 sur 2 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
Nature & animaux,animaux,https://www.annuaire-du-ecommerce.com/sites/animaux,105,4,https://www.annuaire-du-ecommerce.com/sites/animaux?page=4,"Aquas, le spécialiste aquiriophilie d'eau douce",https://www.annuaire-du-ecommerce.com/site/aquas,aquas,"Aquas, le spécialiste aquiriophilie d'eau douce",,,,https://TerreHydroCulture.com,terrehydroculture.com,babou.belgique@hotmail.com,babou.belgique@hotmail.com,1,cloudflare_data,,0,5.0,1,28 décembre 2016,"Découvrez les avis clients sur Aquas, le spécialiste aquiriophilie d'eau douce. Note moyenne : 5.0/5 sur 2 avis. Nature & animaux. Fiabilité, livraison, service client — consultez les retours d'expérience.",,,,,,,,ok,
