uai,nom,type,statut,academie,zone,adresse,code_postal,departement,ville,telephone,email,services,url_fiche,source_liste_page,date_scraping
0260570D,.,École,Public,Académie de Grenoble,Zone A,Route de Suze sur Crest,26400,26,Beaufort - sur - Gervanne,0475764443,ce.0260570D@ac-grenoble.fr,Ecole maternelle | Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/26400/beaufort-sur-gervanne/ecole/0260570d/.html,0,2026-05-28 19:25:14
0261507X,.,École,Privé,Académie de Grenoble,Zone A,665 route D'Ausson,26150,26,Die,0766321265,ce.0261507X@ac-grenoble.fr,Ecole maternelle | Ecole elementaire,https://www.education.gouv.fr/annuaire/26150/die/ecole/0261507x/.html,0,2026-05-28 19:25:18
0090517N,ADELE ESQUIROL MICHOLET,École,Public,Académie de Toulouse,Zone C,42 bis avenue Foix,9000,90,Saint - Paul - de - Jarrat,0561640959,ce.0090517N@ac-toulouse.fr,Ecole maternelle | Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/09000/saint-paul-de-jarrat/ecole/0090517n/adele-esquirol-micholet.html,0,2026-05-28 19:25:23
0632060X,AEP la Couze,École,Privé,Académie de Clermont-Ferrand,Zone A,18 rue de la liberté,63500,63,Issoire,,aepdelacouzeissoire@gmail.com,Ecole maternelle | Ecole elementaire,https://www.education.gouv.fr/annuaire/63500/issoire/ecole/0632060x/aep-la-couze.html,0,2026-05-28 19:25:28
9720971Y,ANNEXE ECOLE ELEMENTAIRE PRIVEE HORS CONTRAT HOPE SCHOOL EN ROUTE VERS TA DESTINEE,École,Privé,Académie de Martinique,,61 rue Madinina,97200,972,Fort - de - France,0596965257,hopeschool972@gmail.com,Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/97200/fort-de-france/ecole/9720971y/annexe-ecole-elementaire-privee-hors-contrat-hope-school-en-route-vers-ta-destinee.html,0,2026-05-28 19:25:34
9720960L,ANNEXE ECOLE ELEMENTAIRE PRIVEE SEMINAIRE COLLEGE SAINT MARIE,École,Privé,Académie de Martinique,,Quartier LAUGIER,CHEMIN DE LA CANNER,CH,97215 - Rivière - Salée,0596766488,veronique.savy@edu-seminairecollege.com,Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/97215/riviere-salee/ecole/9720960l/annexe-ecole-elementaire-privee-seminaire-college-saint-marie.html,0,2026-05-28 19:25:39
0353103H,ASH Dispositif Répit Scolaire,École,Public,Académie de Rennes,,Avenue Jules Maniez,35000,35,Rennes,,ce.0353103H@ac-rennes.fr,,https://www.education.gouv.fr/annuaire/35000/rennes/ecole/0353103h/ash-dispositif-repit-scolaire.html,1,2026-05-28 19:25:47
0260555M,AUBRES-LES PILLES,École,Public,Académie de Grenoble,Zone A,45 rue de l'Eygues,26110,26,Aubres,0975491883,ce.0260555M@ac-grenoble.fr,Ecole maternelle | Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/26110/aubres/ecole/0260555m/aubres-les-pilles.html,1,2026-05-28 19:25:52
9720969W,Annexe Ecole Elementaire Hors Contrat Les P'Tits Papillons Montessori,École,Privé,Académie de Martinique,,Chemin Séailles Carks,97212,972,Saint - Joseph,0696892226,montessorilesptitspapillons@gmail.com,Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/97212/saint-joseph/ecole/9720969w/annexe-ecole-elementaire-hors-contrat-les-p-tits-papillons-montessori.html,1,2026-05-28 19:25:57
0080709C,Antoine de Saint Exupéry,École,Public,Académie de Reims,Zone B,32 rue Léon Blum,8500,85,Revin,0324400634,ce.0080709C@ac-reims.fr,Ecole maternelle | Restauration,https://www.education.gouv.fr/annuaire/08500/revin/ecole/0080709c/antoine-de-saint-exupery.html,1,2026-05-28 19:26:03
0080386B,Aristide Croizy,École,Public,Académie de Reims,Zone B,Place de Gaulle,8090,80,Fagnon,0324564007,ce.0080386B@ac-reims.fr,Ecole elementaire,https://www.education.gouv.fr/annuaire/08090/fagnon/ecole/0080386b/aristide-croizy.html,1,2026-05-28 19:26:07
0111075J,Association Alternatif International (Ecole élémentaire privée),École,Privé,Académie de Montpellier,Zone C,67 rue de la Battude,11430,11,Gruissan,0685962973,ce.0111075j@ac-montpellier.fr,Ecole maternelle | Ecole elementaire | Restauration,https://www.education.gouv.fr/annuaire/11430/gruissan/ecole/0111075j/association-alternatif-international-ecole-elementaire-privee.html,1,2026-05-28 19:26:13
