zone,formation,organisme,ville,adresse,duree,prochaine_session,site_web,email_principal,emails_trouves,email_source,email_confiance,telephone_principal,telephones_trouves,certifiante,financement,type_formation,objectif,contenu,validation,url_detail,url_listing,status_scrape
02,Titre professionnel secrétaire assistant médico-administratif (FOAD),OPENCLASSROOMS,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 1084 heures (dont 280 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,inscription@openclassrooms.com,inscription@openclassrooms.com,france_travail,100,0180888030,0180888030,Certifiante,Formation financée par France Travail,À distance,,"7 projets professionnalisants vous permettront d'acquérir les compétences citées au dessus par la pratique.Vous réaliserez les projets suivants :P1 - Démarrez votre formation de secrétaire assistant médico-administratifP2 - Niveau 1 : Maîtrisez l'accueil et la gestion administrative en milieu médicalP3 - Niveau 2 : Développez vos compétences en rédaction, communication et outils numériques en milieuP4 - Réalisez votre mission en entrepriseP5 - Niveau 3 : Optimisez l'organisation, la sécuritéet la gestion des données sensibles en milieu médicalP6 - Niveau 4 : Améliorez la gestion des communications, données et environnements sanitairesP7 - Préparez votre fin de formation de secrétaire assistant médico-administratif | Validation | Type de validation : | Diplôme autres ministères | Certification :",Type de validation : | Diplôme autres ministères | Certification : | Titre professionnel secrétaire assistant médico-administratif,https://candidat.francetravail.fr/formations/detail/11120327/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,Formation au concours d'ATSEM,OPENCLASSROOMS,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 346 heures,Prochaine session,https://plmpl.fr/c/zFjGj,inscription@openclassrooms.com,inscription@openclassrooms.com,france_travail,100,0180888030,0180888030,,Formation financée par France Travail,À distance,,"5 projets professionnalisants permettront au stagiaire d'acquérir par la pratique les compétences recquises. Chaque livrable enrichira son portfolio qu'il pourra valoriser auprès des recruteurs. Il réalisera les projets suivants : Projet 1 - Démarrez votre formation de préparation au concours ATSEM ; Projet 2 - Comprenez les institutions et le fonctionnement de l'école maternelle ; Projet 3 - Approfondissez le développement et les besoins des enfants de 0 à 6 ans ; Projet 4 - Maîtrisez la santé, la sécurité et les contours du métier d'ATSEM ; Projet 5 - Préparez-vous pour le concours ATSEM. | Organisme | OPENCLASSROOMS | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11120328/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,Concours d'atsem (FOAD),Centre européen de formation,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 522 heures (dont 261 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,info@cenef.fr,info@cenef.fr,france_travail,100,0366060201,0366060201,,Formation financée par France Travail,À distance,,"Programme obligatoire Développement moteur de l'enfant Développement psychique de l'enfant Anomalies du développement de l'enfant Statut juridique de l'enfant et de la famille Cadre politique et administratif de la France Accidents et maladies infantiles Hygiène et confort de l'enfant de 0 à 6 ans Aménagements et équipements des espaces de vie du jeune enfant Hygiène et entretien des équipements Activité d'éveil et de jeux Accueil de la petite enfance Nutrition Préparation des repas Annales Programme complémentaire Le métier d'ATSEM : connaissances techniques Hygiène et Nutrition Développement de l'enfant et jeux Le cadre administratif et juridique de la France"" | Organisme | Centre européen de formation | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11122762/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,CAP accompagnant éducatif petite enfance,Centre européen de formation,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 1496 heures (dont 490 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,info@cenef.fr,info@cenef.fr | service-prise-en-charge@cenef.fr,france_travail,100,0366060201,0366060201,Certifiante,Formation financée par France Travail,À distance,,"Le programme obligatoire de la formation est le suivant : BC01 - ACCOMPAGNER LE DEVELOPPEMENT DU JEUNE ENFANT Développement moteur de l'enfant Développement psychique de l'enfant Anomalies du développement de l'enfant Statut juridique de l'enfant et de la famille Protection sanitaire et sociale de l'enfant et de la famille Anatomie et Physiologie Maintien de l'intégrité de l'organisme Accidents et maladies infantiles Hygiène et confort de l'enfant de 0 à 6 ans BC02 - EXERCER SON ACTIVITE EN MILIEU COLLECTIF Aménagements et équipements des espaces de vie du jeune enfant Hygiène et entretien des équipements Information et communication Activités d'éveil et de jeux BC03 - EXERCER SON ACTIVITE EN ACCUEIL INDIVIDUEL Accueil de la petite enfance Nutrition et préparation des repas BC07 - PREVENTION SANTE ENVIRONNEMENT Prévention, santé, environnement, tome 1 Prévention, santé, environnement, tome 2 MATIERES GENERALES Français Mathématiques Sciences Histoire - Géographie - Enseignement moral et civiques Des cours facultatifs, conçus pour enrichir l'apprentissage de l'élève, sont prévus : Epreuves blanches EP1, EP2, EP3, PSE , Matières générales Livret assistante maternelle | Validation | Type de validation : | Diplôme autres ministères | Certification :",Type de validation : | Diplôme autres ministères | Certification : | CAP accompagnant éducatif petite enfance,https://candidat.francetravail.fr/formations/detail/11122788/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,Préparation au concours d'ATSEM,AFEC (Siège),75004 Paris,Formation a distance | 75004 Paris | France,Durée de 385 heures (dont 105 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,paris@afec.fr,paris@afec.fr,france_travail,100,0153368844,0153368844,,Formation financée par France Travail,À distance,,"Formation individualisée et accompagnée par un formateur coach dédié, comprenant les modules suivants Modules d'enseignement : - Accompagnement du développement de l'enfant de 2 à 6 ans - Préparation aux épreuves du concours - Examens blancs En complément de la formation : - Remise à niveau numérique - Plan d'action et bilan de formation - Posture professionnelle de l'ATSEM - Techniques de recherche d'emploi et de stage - Accompagnement à la suite de parcours | Organisme | AFEC (Siège) | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11124184/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,Préparation à l'entrée en institut de formation d'aide-soignant,Leo Lagrange Formation,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 207 heures (dont 35 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,contact@ifra.fr,contact@ifra.fr,france_travail,100,0472892042,0472892042,,Formation financée par France Travail,À distance,,"Module 1 - Remise à niveau numérique préparatoireObjectifs : -Se connecter à une plateforme?de formation à distance -Se repérer et naviguer sur une plateforme de formation -Se connecter à une classe virtuelle avec micro et caméra Module 2 - Remise à niveau - FrançaisObjectif: Améliorer ses capacités rédactionnelles? rédiger, synthétiser, résumer, commenter Module 3 - Remise à niveau - MathématiquesObjectif: Utiliser les bases des mathématiques dans sa pratique professionnelle Module 4 - Remise à niveau - BiologieObjectif: Maîtriser les bases de la biologie nécessaires à l'entrée en école d'aide-soignant Module 5 - Compétences numériquesObjectif : Être autonome sur l'outil numérique Module 6 - Connaissance du secteur sanitaire et du métier d'aide-soignantObjectifs :Connaître son environnement professionnel -Connaître son futur métier Module 7 - La relation d'aideObjectif: Acquérir les bases de la communication pour bien travailler en équipe et prendre en charge les personnes accompagnées Module 8 - SoftskillsObjectifs: -Développer et savoir mobiliser ses savoir-être professionnels? faire preuve d'autonomie, travailler en équipe, organiser son travail, gérer son stress, avoir le sens du service... -Acquérir les gestes et postures professionnels en adéquation avec les attentes actuelles du marché de l'emploi Module 9 - Aide à l'admissionObjectifs:Anticiper son entrée en école d'aide-soignant -Savoir se présenter et présenter son projet professionnel Module 10 - Accompagnement à la recherche de stageObjectifs:Comprendre l'environnement professionnel -Rechercher une offre de stage -Préparer sa prise de contact Module 11 - Accompagnement au retour à l'emploiObjectifs:Être outillé pour réussir sa recherche d'emploi -Mettre à jour son profil compétencesModule 12 - Stage en entrepriseObjectif : Mieux appréhender l'environnement professionnel de la filière santé et soin | Organisme | Leo Lagrange Formation | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11128404/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,Préparation à l'entrée en institut de formation d'infirmier,Leo Lagrange Formation,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 228 heures (dont 35 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,contact@ifra.fr,contact@ifra.fr,france_travail,100,0472892042,0472892042,,Formation financée par France Travail,À distance,,"Module 1- Remise à niveau numérique préparatoire Objectifs:Se connecter à une plateforme de formation -Se repérer et naviguer sur une plateforme de formation -Se connecter à une classe virtuelle avec micro et caméra Module 2 - Remise à niveau - Français Objectif: Améliorer ses capacités rédactionnelles? rédiger, synthétiser, résumer, commenter Module 3 - Remise à niveau - Mathématiques Objectif :Utiliser les bases des mathématiques dans sa pratique professionnelle Module 4 - Remise à niveau - Biologie Objectif :Maîtriser les bases de la biologie nécessaires à l'entrée en école d'infirmier Module 5 - Compétences numériques Objectif:Être autonome sur l'outil numérique Module 6 - Connaissance du secteur sanitaire, de la petite enfance et du métier d'auxiliaire de puériculture Objectif:Connaître son environnement professionnel -Connaître son futur métier Module 7 - La relation d'aide Objectif :Acquérir les bases de la communication pour bien prendre en charge les personnes Module 8 - Softskills Objectifs : -Développer et savoir mobiliser ses savoir-être professionnels? faire preuve d'autonomie, travailler en équipe, organiser son travail, gérer son stress, avoir le sens du service.Acquérir les gestes et postures professionnels en adéquation avec les attentes actuelles du marché de l'emploi Module 9 - Aide à l'admission Objectifs: -Anticiper son entrée en école d'infirmier -Savoir se présenter et présenter son projet professionnel Module 10 - Accompagnement à la recherche de stage Objectifs:Comprendre l'environnement professionnel -Rechercher une offre de stage -Préparer sa prise de contact Module 11 - Accompagnement au retour à l'emploi Objectifs: -Être outillé pour réussir sa recherche d'emploi -Mettre à jour son profil compétences? Stage en entrepriseObjectif: Mieux appréhender l'environnement professionnel de la filière santé et soin | Organisme | Leo Lagrange Formation | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11128411/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,Préparation à l'entrée en institut de formation d'auxiliaire de puériculture,Leo Lagrange Formation,75004 Paris,Formation a distance | 75004 Paris | France,Durée de 207 heures (dont 35 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,contact@ifra.fr,contact@ifra.fr,france_travail,100,0472892042,0472892042,,Formation financée par France Travail,À distance,,"MODULE 1 - Remise à niveau numérique préparatoire Objectifs : -Se connecter à une plateforme?de formation -Se repérer et naviguer sur une plateforme de formation -Se connecter à une classe virtuelle avec micro et caméra MODULE 2 - Remise à niveau - Français Objectif: Améliorer ses capacités rédactionnelles? rédiger, synthétiser, résumer, commenter MODULE 3 - Remise à niveau - Mathématiques Objectif : Utiliser les bases des mathématiques dans sa pratique professionnelle MODULE 4 - Remise à niveau - Biologie Objectif : Maîtriser les bases de la biologie nécessaires à l'entrée en école d'auxiliaire de puériculture MODULE 5 - Compétences numériques Objectifs: Être autonome sur l'outil numérique MODULE 6 - Connaissance du secteur sanitaire, de la petite enfance et du métier d'auxiliaire de puériculture Objectifs: -Connaître son environnement professionnel -Connaître son futur métier MODULE 7 - La relation d'aide Objectif: Acquérir les bases de la communication pour bien travailler en équipe et prendre en charge les enfants et leur famille MODULE 8 - Softskills Objectifs : -Développer et savoir mobiliser ses savoir-être professionnels? faire preuve d'autonomie, travailler en équipe, organiser son travail, gérer son stress, avoir le sens du service... -Acquérir les gestes et postures professionnels en adéquation avec les attentes actuelles du marché de l'emploi MODULE 9 - Aide à l'admission Objectifs : -Anticiper son entrée en école d'auxiliaire de puériculture -Savoir se présenter et présenter son projet professionnel MODULE 10 - Accompagnement à la recherche de stage Objectifs :Comprendre l'environnement professionnel -Rechercher une offre de stage -Préparer sa prise de contact MODULE 11 - Accompagnement au retour à l'emploi Objectifs : -Être outillé pour réussir sa recherche d'emploi -Mettre à jour son profil compétences? Stage en entreprise Objectif : Mieux appréhender l'environnement professionnel de la filière santé et soin | Organisme | Leo Lagrange Formation | Lieu de la formation | Formation a distance",,https://candidat.francetravail.fr/formations/detail/11128426/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,BP option aménagements paysagers,EPLEFPA Chambéry La Motte-Servolex (Savoie) (EPLEFPA - Lycée agricole Reinach),75004 Paris,Formation a distance | 75004 Paris | France,Durée de 991 heures (dont 420 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,epl.la-motte-servolex@educagri.fr,epl.la-motte-servolex@educagri.fr | cecile.iribarne@educagri.fr,france_travail,100,0479264427,0479264427,Certifiante,Formation financée par France Travail,À distance,,Référentiel RNCP - Code RNCP 38314 - est organisé autour de 6 blocs de compétences : - C1 - Se situer en tant que professionnel - C2 - Organiser le travail d'un chantier d'aménagement paysager - C3 - Réaliser les interventions de mise en place des végétaux - C4 - Réaliser les interventions d'entretien des végétaux - C5 - Mettre en place les infrastructures - UCARE - Mettre en place un jardin vivrier | Validation | Type de validation : | Diplôme autres ministères | Certification :,Type de validation : | Diplôme autres ministères | Certification : | BP option aménagements paysagers,https://candidat.francetravail.fr/formations/detail/11200732/true/false/true/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
02,E2C - Ecole de la Deuxième Chance,Ecole de la Deuxième Chance Grand Hainaut,02140 Vervins,Ecole de la deuxième chance - site de VERVINS | 3 Place des Anciens Combattants | 02140 Vervins | France,Durée de 1400 heures (dont 500 heures en entreprise),Prochaine session,https://plmpl.fr/c/zFjGj,c.renaud@e2cgrandhainaut.fr,c.renaud@e2cgrandhainaut.fr,france_travail,100,0375310010,0375310010,,Formation financée par la région,En centre,,"Savoir fondamentauxOrientation et démarches professionnelsSocialisation et développement personnelAlternance en entreprise (près de 30% du temps)Des outils pédagogiques de liaison, d'évaluation et de suivi9 mois maximum + 12 mois de suivi post-parcours | Organisme | Ecole de la Deuxième Chance Grand Hainaut | Lieu de la formation | Ecole de la deuxième chance - site de VERVINS",,https://candidat.francetravail.fr/formations/detail/11072382/true/false/false/true,https://candidat.francetravail.fr/formations/recherche?filtreEstFormationEnCoursOuAVenir=formEnCours&filtreEstFormationTerminee=formEnCours&ou=DEPARTEMENT-02&range=110-119&tri=0,ok
